Team,RelegatedCount,RelegationProb,ExpectedPoints,PointsStd
Arsenal,0,0.0,82.012,2.1140614939021996
Manchester City,0,0.0,80.3246,2.689207102474631
Manchester United,0,0.0,69.9688,2.1141964336361934
Liverpool,0,0.0,63.6369,2.199013049074516
Aston Villa,0,0.0,62.1941,2.396586153260508
Bournemouth,0,0.0,55.0128,2.132612519891975
Brentford,0,0.0,54.1208,1.974286544552234
Brighton,0,0.0,53.8257,2.164513689030402
Chelsea,0,0.0,55.2626,2.457730912854375
Fulham,0,0.0,52.2039,2.242749381897139
Everton,0,0.0,52.1859,2.483735330102626
Sunderland,0,0.0,49.3605,1.93833427199748
Newcastle United,0,0.0,49.1839,2.2103123738512616
Leeds,9,0.0009,46.7648,2.208637806431829
Crystal Palace,2,0.0002,46.8611,2.363177265885909
Nottingham Forest,306,0.0306,43.3717,2.3551940705597914
West Ham,6072,0.6072,39.5027,2.180778005666785
Tottenham,3610,0.3611,40.087,2.5080332932399445
Burnley,10000,1.0,23.174,2.0187431733630703
Wolverhampton Wanderers,10000,1.0,21.8148,2.1813530113211845
