Team,ChampionProb,Top4Prob,RelegationProb,ExpectedPoints,PointsStd
Arsenal,0.8078,1.0,0.0,81.9977,2.130327371555837
Manchester City,0.1922,1.0,0.0,79.6156,2.360304353256164
Burnley,0.0,0.0,1.0,23.1692,2.0250361379491477
West Ham,0.0,0.0,0.7929,39.5142,2.1797702539487966
Tottenham,0.0,0.0,0.2021,41.5859,2.1350927825272605
Nottingham Forest,0.0,0.0,0.0033,45.8114,2.0977678708570213
Crystal Palace,0.0,0.0,0.0001,46.8715,2.3484862677903826
Leeds,0.0,0.0,0.0016,46.7636,2.193790108465256
Newcastle United,0.0,0.0,0.0,49.1938,2.233661021730916
Sunderland,0.0,0.0,0.0,49.3404,1.945848873885123
Fulham,0.0,0.0,0.0,52.2325,2.2367484771426582
Everton,0.0,0.0,0.0,52.1785,2.162276057768758
Chelsea,0.0,0.0,0.0,53.0141,2.171152042119575
Brighton,0.0,0.0,0.0,53.8428,2.1621489680408237
Brentford,0.0,0.0007,0.0,54.1514,1.9887378007168264
Bournemouth,0.0,0.0004,0.0,54.9862,2.1210397356013866
Aston Villa,0.0,0.1764,0.0,60.9487,2.0350106412498192
Liverpool,0.0,0.8225,0.0,63.5709,2.1813237242555266
Manchester United,0.0,1.0,0.0,69.976,2.1166539632164727
Wolverhampton Wanderers,0.0,0.0,1.0,21.7901,2.188890584291504
