Team,Top4Count,Top4Prob,ExpectedPoints,PointsStd
Arsenal,10000,1.0,81.9672,2.1020285821082454
Manchester City,10000,1.0,80.3038,2.703572739912873
Manchester United,9995,0.9995,69.9833,2.0906508819025715
Liverpool,7016,0.7016,63.5373,2.2108389154345915
Aston Villa,2982,0.2982,62.2171,2.377302586967002
Bournemouth,1,0.0001,54.9615,2.135747585741349
Brentford,2,0.0002,54.1737,1.984169425729567
Brighton,0,0.0,53.8348,2.1641878291867367
Chelsea,4,0.0004,55.2866,2.427315480113782
Fulham,0,0.0,52.2236,2.2214866733788887
Everton,0,0.0,52.2283,2.5155474771906015
Sunderland,0,0.0,49.3544,1.946175901608074
Newcastle United,0,0.0,49.2664,2.2324047661658493
Leeds,0,0.0,46.752,2.1931931059530534
Crystal Palace,0,0.0,46.8668,2.349991012748772
Nottingham Forest,0,0.0,43.3634,2.3197285272203727
West Ham,0,0.0,39.5131,2.189435632760187
Tottenham,0,0.0,40.0352,2.502351086478474
Burnley,0,0.0,23.1878,2.038462940551042
Wolverhampton Wanderers,0,0.0,21.7835,2.186098751200412
